cfg;#tasks;%shared;#uncertainty;#hTasks;#rTasks;makespan;time (secs)
AIJFbTPlannerB;10;80;20;10.0;2.0;131.0;0.515
AIJFbTPlannerB;10;80;30;10.0;2.0;131.0;0.5466666666666666
AIJFbTPlannerB;10;100;10;10.0;2.0;131.0;0.603
AIJFbTPlannerB;10;100;20;10.0;2.0;131.0;0.4366666666666667
AIJFbTPlannerB;10;100;30;10.0;2.0;131.0;0.45366666666666666
AIJFbTPlannerB;15;20;10;15.0;2.0;200.0;1.251
AIJFbTPlannerB;15;20;20;15.0;2.0;200.0;1.1606666666666667
AIJFbTPlannerB;15;20;30;15.0;2.0;200.0;1.1553333333333333
AIJFbTPlannerB;15;40;10;15.0;2.0;200.0;1.2846666666666668
AIJFbTPlannerB;15;40;20;15.0;2.0;200.0;1.679
AIJFbTPlannerB;15;40;30;15.0;2.0;200.0;1.6456666666666668
AIJFbTPlannerB;15;60;10;15.0;2.0;200.0;1.5023333333333333
AIJFbTPlannerB;15;60;20;15.0;2.0;200.0;1.666
AIJFbTPlannerB;15;60;30;15.0;2.0;200.0;1.511
AIJFbTPlannerB;15;80;10;15.0;2.0;200.0;1.6483333333333332
AIJFbTPlannerB;15;80;20;15.0;2.0;200.0;1.732
AIJFbTPlannerB;15;80;30;15.0;2.0;200.0;1.6063333333333332
AIJFbTPlannerB;15;100;10;15.0;2.0;200.0;1.2473333333333332
AIJFbTPlannerB;15;100;20;15.0;2.0;200.0;1.2653333333333332
AIJFbTPlannerB;15;100;30;15.0;2.0;200.0;1.3243333333333334
AIJFbTPlannerB;20;20;10;20.0;2.0;261.0;2.982
AIJFbTPlannerB;20;20;20;20.0;2.0;261.0;2.8396666666666666
AIJFbTPlannerB;20;20;30;20.0;2.0;261.0;3.9543333333333335
AIJFbTPlannerB;20;40;10;20.0;2.0;261.0;3.623
AIJFbTPlannerB;20;40;20;20.0;2.0;261.0;3.7073333333333336
AIJFbTPlannerB;20;40;30;20.0;2.0;261.0;3.8176666666666663
AIJFbTPlannerB;20;60;10;20.0;2.0;261.0;3.695
AIJFbTPlannerB;20;60;20;20.0;2.0;261.0;3.0763333333333334
AIJFbTPlannerB;20;60;30;20.0;2.0;261.0;3.6473333333333335
AIJFbTPlannerB;20;80;10;20.0;2.0;261.0;4.147
AIJFbTPlannerB;20;80;20;20.0;2.0;261.0;2.7876666666666665
AIJFbTPlannerB;20;80;30;20.0;2.0;261.0;2.7503333333333333
AIJFbTPlannerB;20;100;10;20.0;2.0;261.0;3.4033333333333333
AIJFbTPlannerB;20;100;20;20.0;2.0;261.0;3.562
AIJFbTPlannerB;20;100;30;20.0;2.0;261.0;3.57
AIJFbTPlannerB;25;20;10;25.0;2.0;330.0;7.878333333333333
AIJFbTPlannerB;25;20;20;25.0;2.0;330.0;7.560666666666667
AIJFbTPlannerB;25;20;30;25.0;2.0;330.0;6.48
AIJFbTPlannerB;25;40;10;25.0;2.0;330.0;7.9446666666666665
AIJFbTPlannerB;25;40;20;25.0;2.0;330.0;7.199333333333333
AIJFbTPlannerB;25;40;30;25.0;2.0;330.0;6.99
AIJFbTPlannerB;25;60;10;25.0;2.0;330.0;6.573
AIJFbTPlannerB;25;60;20;25.0;2.0;330.0;6.802333333333333
AIJFbTPlannerB;25;60;30;25.0;2.0;330.0;7.113
AIJFbTPlannerB;25;80;10;25.0;2.0;330.0;7.064666666666667
AIJFbTPlannerB;25;80;20;25.0;2.0;330.0;6.296
AIJFbTPlannerB;25;80;30;25.0;2.0;330.0;6.687
AIJFbTPlannerB;25;100;10;25.0;2.0;330.0;7.971
AIJFbTPlannerB;25;100;20;25.0;2.0;330.0;7.379
AIJFbTPlannerB;25;100;30;25.0;2.0;330.0;8.363333333333333
AIJFbTPlannerB;30;20;10;30.0;2.0;391.0;13.503
AIJFbTPlannerB;30;20;20;30.0;2.0;391.0;12.958
AIJFbTPlannerB;30;20;30;30.0;2.0;391.0;12.771333333333335
AIJFbTPlannerB;30;40;10;30.0;2.0;391.0;12.087666666666665
AIJFbTPlannerB;30;40;20;30.0;2.0;391.0;10.862333333333334
AIJFbTPlannerB;30;40;30;30.0;2.0;391.0;14.057333333333334
AIJFbTPlannerB;30;60;10;30.0;2.0;391.0;11.388
AIJFbTPlannerB;30;60;20;30.0;2.0;391.0;11.828666666666667
AIJFbTPlannerB;30;60;30;30.0;2.0;391.0;11.710666666666667
AIJFbTPlannerB;30;80;10;30.0;2.0;391.0;9.523333333333333
AIJFbTPlannerB;30;80;20;30.0;2.0;391.0;9.448333333333334
AIJFbTPlannerB;30;80;30;30.0;2.0;391.0;9.482666666666667
AIJFbTPlannerB;30;100;10;30.0;2.0;391.0;9.356
AIJFbTPlannerB;30;100;20;30.0;2.0;391.0;9.343
AIJFbTPlannerB;30;100;30;30.0;2.0;391.0;9.430666666666665
AIJFbTPlannerC;10;20;10;10.0;2.0;131.0;0.4036666666666667
AIJFbTPlannerC;10;20;20;10.0;2.0;131.0;0.39966666666666667
AIJFbTPlannerC;10;20;30;10.0;2.0;131.0;0.3993333333333333
AIJFbTPlannerC;10;40;10;-1;-1
AIJFbTPlannerC;10;40;20;-1;-1
AIJFbTPlannerC;10;40;30;-1;-1
AIJFbTPlannerC;10;60;10;-1;-1
AIJFbTPlannerC;10;60;20;-1;-1
AIJFbTPlannerC;10;60;30;-1;-1
AIJFbTPlannerC;10;80;10;-1;-1
AIJFbTPlannerC;10;80;20;-1;-1
AIJFbTPlannerC;10;80;30;-1;-1
AIJFbTPlannerC;10;100;10;-1;-1
AIJFbTPlannerC;10;100;20;-1;-1
AIJFbTPlannerC;10;100;30;-1;-1
AIJFbTPlannerC;15;20;10;15.0;2.0;200.0;0.9183333333333333
AIJFbTPlannerC;15;20;20;15.0;2.0;200.0;0.963
AIJFbTPlannerC;15;20;30;15.0;2.0;200.0;0.8933333333333334
AIJFbTPlannerC;15;40;10;-1;-1
AIJFbTPlannerC;15;40;20;-1;-1
AIJFbTPlannerC;15;40;30;-1;-1
AIJFbTPlannerC;15;60;10;-1;-1
AIJFbTPlannerC;15;60;20;-1;-1
AIJFbTPlannerC;15;60;30;-1;-1
AIJFbTPlannerC;15;80;10;-1;-1
AIJFbTPlannerC;15;80;20;-1;-1
AIJFbTPlannerC;15;80;30;-1;-1
AIJFbTPlannerC;15;100;10;-1;-1
AIJFbTPlannerC;15;100;20;-1;-1
AIJFbTPlannerC;15;100;30;-1;-1
AIJFbTPlannerC;20;20;10;-1;-1
AIJFbTPlannerC;20;20;20;-1;-1
AIJFbTPlannerC;20;20;30;-1;-1
AIJFbTPlannerC;20;40;10;-1;-1
AIJFbTPlannerC;20;40;20;-1;-1
AIJFbTPlannerC;20;40;30;-1;-1
AIJFbTPlannerC;20;60;10;-1;-1
AIJFbTPlannerC;20;60;20;-1;-1
AIJFbTPlannerC;20;60;30;-1;-1
AIJFbTPlannerC;20;80;10;-1;-1
AIJFbTPlannerC;20;80;20;-1;-1
AIJFbTPlannerC;20;80;30;-1;-1
AIJFbTPlannerC;20;100;10;-1;-1
AIJFbTPlannerC;20;100;20;-1;-1
AIJFbTPlannerC;20;100;30;-1;-1
AIJFbTPlannerC;25;20;10;-1;-1
AIJFbTPlannerC;25;20;20;-1;-1
AIJFbTPlannerC;25;20;30;-1;-1
AIJFbTPlannerC;25;40;10;-1;-1
AIJFbTPlannerC;25;40;20;-1;-1
AIJFbTPlannerC;25;40;30;-1;-1
AIJFbTPlannerC;25;60;10;-1;-1
AIJFbTPlannerC;25;60;20;-1;-1
AIJFbTPlannerC;25;60;30;-1;-1
AIJFbTPlannerC;25;80;10;-1;-1
AIJFbTPlannerC;25;80;20;-1;-1
AIJFbTPlannerC;25;80;30;-1;-1
AIJFbTPlannerC;25;100;10;-1;-1
AIJFbTPlannerC;25;100;20;-1;-1
AIJFbTPlannerC;25;100;30;-1;-1
AIJFbTPlannerC;30;20;10;-1;-1
AIJFbTPlannerC;30;20;20;-1;-1
AIJFbTPlannerC;30;20;30;-1;-1
AIJFbTPlannerC;30;40;10;-1;-1
AIJFbTPlannerC;30;40;20;-1;-1
AIJFbTPlannerC;30;40;30;-1;-1
AIJFbTPlannerC;30;60;10;-1;-1
AIJFbTPlannerC;30;60;20;-1;-1
AIJFbTPlannerC;30;60;30;-1;-1
AIJFbTPlannerC;30;80;10;-1;-1
AIJFbTPlannerC;30;80;20;-1;-1
AIJFbTPlannerC;30;80;30;-1;-1
AIJFbTPlannerC;30;100;10;-1;-1
AIJFbTPlannerC;30;100;20;-1;-1
AIJFbTPlannerC;30;100;30;-1;-1
AIJFbTPlannerD;10;20;10;-1;-1
AIJFbTPlannerD;10;20;20;10.0;2.0;131.0;0.786
AIJFbTPlannerD;10;20;30;10.0;2.0;131.0;0.5653333333333334
AIJFbTPlannerD;10;40;10;8.333333333333334;3.6666666666666665;108.0;4.319333333333333
AIJFbTPlannerD;10;40;20;8.333333333333334;3.6666666666666665;110.66666666666667;5.873
AIJFbTPlannerD;10;40;30;8.666666666666666;3.3333333333333335;113.66666666666667;2.1296666666666666
AIJFbTPlannerD;10;60;10;6.333333333333333;5.666666666666667;84.66666666666667;19.055333333333333
AIJFbTPlannerD;10;60;20;7.0;5.0;93.33333333333333;15.66
AIJFbTPlannerD;10;60;30;6.0;6.0;79.0;13.388
AIJFbTPlannerD;10;80;10;4.333333333333333;7.666666666666667;67.33333333333333;129.14433333333332
AIJFbTPlannerD;10;80;20;4.666666666666667;7.333333333333333;71.66666666666667;69.663
AIJFbTPlannerD;10;80;30;-1;-1
AIJFbTPlannerD;10;100;10;-1;-1
AIJFbTPlannerD;10;100;20;-1;-1
AIJFbTPlannerD;10;100;30;-1;-1
AIJFbTPlannerD;15;20;10;15.0;2.0;200.0;0.948
AIJFbTPlannerD;15;20;20;15.0;2.0;200.0;0.9843333333333334
AIJFbTPlannerD;15;20;30;15.0;2.0;200.0;16.882
AIJFbTPlannerD;15;40;10;-1;-1
AIJFbTPlannerD;15;40;20;-1;-1
AIJFbTPlannerD;15;40;30;-1;-1
AIJFbTPlannerD;15;60;10;-1;-1
AIJFbTPlannerD;15;60;20;-1;-1
AIJFbTPlannerD;15;60;30;-1;-1
AIJFbTPlannerD;15;80;10;-1;-1
AIJFbTPlannerD;15;80;20;-1;-1
AIJFbTPlannerD;15;80;30;-1;-1
AIJFbTPlannerD;15;100;10;-1;-1
AIJFbTPlannerD;15;100;20;-1;-1
AIJFbTPlannerD;15;100;30;-1;-1
AIJFbTPlannerD;20;20;10;-1;-1
AIJFbTPlannerD;20;20;20;-1;-1
AIJFbTPlannerD;20;20;30;-1;-1
AIJFbTPlannerD;20;40;10;-1;-1
AIJFbTPlannerD;20;40;20;-1;-1
AIJFbTPlannerD;20;40;30;-1;-1
AIJFbTPlannerD;20;60;10;-1;-1
AIJFbTPlannerD;20;60;20;-1;-1
AIJFbTPlannerD;20;60;30;-1;-1
AIJFbTPlannerD;20;80;10;-1;-1
AIJFbTPlannerD;20;80;20;-1;-1
AIJFbTPlannerD;20;80;30;-1;-1
AIJFbTPlannerD;20;100;10;-1;-1
AIJFbTPlannerD;20;100;20;-1;-1
AIJFbTPlannerD;20;100;30;-1;-1
AIJFbTPlannerD;25;20;10;-1;-1
AIJFbTPlannerD;25;20;20;23.333333333333332;3.6666666666666665;309.6666666666667;26.363666666666667
AIJFbTPlannerD;25;20;30;-1;-1
AIJFbTPlannerD;25;40;10;-1;-1
AIJFbTPlannerD;25;40;20;-1;-1
AIJFbTPlannerD;25;40;30;-1;-1
AIJFbTPlannerD;25;60;10;-1;-1
AIJFbTPlannerD;25;60;20;-1;-1
AIJFbTPlannerD;25;60;30;-1;-1
AIJFbTPlannerD;25;80;10;-1;-1
AIJFbTPlannerD;25;80;20;-1;-1
AIJFbTPlannerD;25;80;30;-1;-1
AIJFbTPlannerD;25;100;10;-1;-1
AIJFbTPlannerD;25;100;20;-1;-1
AIJFbTPlannerD;25;100;30;-1;-1
AIJFbTPlannerD;30;20;10;-1;-1
AIJFbTPlannerD;30;20;20;-1;-1
