cfg;#tasks;%shared;#uncertainty;#hTasks;#rTasks;makespan;time (secs)
AIJFbTPlannerA;10;20;10;10.0;2.0;179.0;1.0196666666666667
AIJFbTPlannerA;10;20;20;10.0;2.0;79.0;0.712
AIJFbTPlannerA;10;20;30;10.0;2.0;20.0;0.6813333333333333
AIJFbTPlannerA;10;40;10;8.0;4.0;143.0;0.933
AIJFbTPlannerA;10;40;20;8.0;4.0;63.0;0.8033333333333333
AIJFbTPlannerA;10;40;30;8.0;4.0;29.0;0.7943333333333333
AIJFbTPlannerA;10;60;10;6.0;6.0;107.0;1.544
AIJFbTPlannerA;10;60;20;6.0;6.0;54.0;1.5616666666666668
AIJFbTPlannerA;10;60;30;6.0;6.0;43.0;1.7103333333333333
AIJFbTPlannerA;10;80;10;6.0;6.0;135.66666666666666;1.5986666666666667
AIJFbTPlannerA;10;80;20;6.0;6.0;63.0;1.704
AIJFbTPlannerA;10;80;30;6.0;6.0;43.0;1.6276666666666668
AIJFbTPlannerA;10;100;10;6.0;6.0;134.0;1.7226666666666668
AIJFbTPlannerA;10;100;20;6.0;6.0;64.66666666666667;1.5733333333333333
AIJFbTPlannerA;10;100;30;6.0;6.0;43.0;1.5746666666666667
AIJFbTPlannerA;15;20;10;15.0;2.0;270.0;1.188
AIJFbTPlannerA;15;20;20;15.0;2.0;120.0;1.1983333333333333
AIJFbTPlannerA;15;20;30;15.0;2.0;30.0;1.2033333333333334
AIJFbTPlannerA;15;40;10;12.0;5.0;215.0;2.2436666666666665
AIJFbTPlannerA;15;40;20;12.0;5.0;95.0;2.225
AIJFbTPlannerA;15;40;30;12.0;5.0;36.0;2.2373333333333334
AIJFbTPlannerA;15;60;10;9.0;8.0;162.0;5.467
AIJFbTPlannerA;15;60;20;9.0;8.0;77.0;5.225666666666667
AIJFbTPlannerA;15;60;30;9.0;8.0;57.0;5.348333333333333
AIJFbTPlannerA;15;80;10;8.0;9.0;172.0;7.132666666666667
AIJFbTPlannerA;15;80;20;8.0;9.0;84.0;7.072333333333333
AIJFbTPlannerA;15;80;30;8.0;9.0;64.0;6.947
AIJFbTPlannerA;15;100;10;8.0;9.0;172.0;6.822666666666667
AIJFbTPlannerA;15;100;20;8.0;9.0;84.0;6.814666666666667
AIJFbTPlannerA;15;100;30;8.0;9.0;64.0;6.844666666666667
AIJFbTPlannerA;20;20;10;18.0;4.0;323.0;3.623
AIJFbTPlannerA;20;20;20;18.0;4.0;143.0;3.5123333333333333
AIJFbTPlannerA;20;20;30;18.0;4.0;36.0;3.3783333333333334
AIJFbTPlannerA;20;40;10;14.0;8.0;251.0;8.496666666666666
AIJFbTPlannerA;20;40;20;14.0;8.0;111.0;8.345333333333334
AIJFbTPlannerA;20;40;30;14.0;8.0;57.0;8.417333333333334
AIJFbTPlannerA;20;60;10;11.0;11.0;196.0;19.82933333333333
AIJFbTPlannerA;20;60;20;11.0;11.0;94.0;19.171666666666667
AIJFbTPlannerA;20;60;30;11.0;11.0;78.0;21.432
AIJFbTPlannerA;20;80;10;11.0;11.0;196.0;19.478
AIJFbTPlannerA;20;80;20;11.0;11.0;91.0;19.541666666666668
AIJFbTPlannerA;20;80;30;11.0;11.0;78.0;19.328
AIJFbTPlannerA;20;100;10;11.0;11.0;196.0;19.656
AIJFbTPlannerA;20;100;20;11.0;11.0;94.0;19.485333333333333
AIJFbTPlannerA;20;100;30;11.0;11.0;78.0;19.327333333333332
AIJFbTPlannerA;25;20;10;23.0;4.0;414.0;6.786
AIJFbTPlannerA;25;20;20;23.0;4.0;184.0;6.578333333333333
AIJFbTPlannerA;25;20;30;23.0;4.0;46.0;6.480666666666667
AIJFbTPlannerA;25;40;10;18.0;9.0;323.0;17.975
AIJFbTPlannerA;25;40;20;18.0;9.0;143.0;17.128666666666668
AIJFbTPlannerA;25;40;30;18.0;9.0;64.0;16.846333333333334
AIJFbTPlannerA;25;60;10;13.0;14.0;238.0;51.35466666666667
AIJFbTPlannerA;25;60;20;13.0;14.0;116.0;51.283
AIJFbTPlannerA;25;60;30;13.0;14.0;99.0;50.342
AIJFbTPlannerA;25;80;10;13.0;14.0;238.0;51.349666666666664
AIJFbTPlannerA;25;80;20;13.0;14.0;116.0;53.86533333333334
AIJFbTPlannerA;25;80;30;13.0;14.0;99.0;52.41
AIJFbTPlannerA;25;100;10;13.0;14.0;238.0;50.744
AIJFbTPlannerA;25;100;20;13.0;14.0;116.0;51.14
AIJFbTPlannerA;25;100;30;13.0;14.0;99.0;52.144
AIJFbTPlannerA;30;20;10;26.0;6.0;467.0;16.464333333333332
AIJFbTPlannerA;30;20;20;26.0;6.0;207.0;15.905
AIJFbTPlannerA;30;20;30;26.0;6.0;52.0;15.686666666666666
AIJFbTPlannerA;30;40;10;20.0;12.0;359.0;51.527
AIJFbTPlannerA;30;40;20;20.0;12.0;159.0;47.30166666666666
AIJFbTPlannerA;30;40;30;20.0;12.0;85.0;49.425666666666665
AIJFbTPlannerA;30;60;10;16.0;16.0;294.0;109.45033333333333
AIJFbTPlannerA;30;60;20;16.0;16.0;133.0;125.339
AIJFbTPlannerA;30;60;30;16.0;16.0;113.0;121.102
AIJFbTPlannerA;30;80;10;16.0;16.0;289.0;120.17566666666667
AIJFbTPlannerA;30;80;20;16.0;16.0;133.0;117.40866666666668
AIJFbTPlannerA;30;80;30;16.0;16.0;113.0;118.38566666666667
AIJFbTPlannerA;30;100;10;16.0;16.0;289.0;122.30466666666668
AIJFbTPlannerA;30;100;20;16.0;16.0;138.0;117.13566666666667
AIJFbTPlannerA;30;100;30;16.0;16.0;113.0;115.841
AIJFbTPlannerB;10;20;10;10.0;2.0;179.0;0.453
AIJFbTPlannerB;10;20;20;10.0;2.0;79.0;0.4886666666666667
AIJFbTPlannerB;10;20;30;10.0;2.0;20.0;0.482
AIJFbTPlannerB;10;40;10;10.0;2.0;179.0;0.46366666666666667
AIJFbTPlannerB;10;40;20;10.0;2.0;79.0;0.45
AIJFbTPlannerB;10;40;30;10.0;2.0;20.0;0.438
AIJFbTPlannerB;10;60;10;10.0;2.0;179.0;0.4466666666666667
AIJFbTPlannerB;10;60;20;10.0;2.0;79.0;0.5643333333333334
AIJFbTPlannerB;10;60;30;10.0;2.0;20.0;0.5006666666666667
AIJFbTPlannerB;10;80;10;10.0;2.0;179.0;0.484
AIJFbTPlannerB;10;80;20;10.0;2.0;79.0;0.49
AIJFbTPlannerB;10;80;30;10.0;2.0;20.0;0.491
AIJFbTPlannerB;10;100;10;10.0;2.0;179.0;0.5693333333333334
AIJFbTPlannerB;10;100;20;10.0;2.0;79.0;0.48033333333333333
AIJFbTPlannerB;10;100;30;10.0;2.0;20.0;0.5076666666666667
AIJFbTPlannerB;15;20;10;15.0;2.0;270.0;1.1996666666666667
AIJFbTPlannerB;15;20;20;15.0;2.0;120.0;1.185
AIJFbTPlannerB;15;20;30;15.0;2.0;30.0;1.298
AIJFbTPlannerB;15;40;10;15.0;2.0;270.0;1.2713333333333332
AIJFbTPlannerB;15;40;20;15.0;2.0;120.0;1.304
AIJFbTPlannerB;15;40;30;15.0;2.0;30.0;1.292
AIJFbTPlannerB;15;60;10;15.0;2.0;270.0;1.2533333333333332
AIJFbTPlannerB;15;60;20;15.0;2.0;120.0;1.2403333333333333
AIJFbTPlannerB;15;60;30;15.0;2.0;30.0;1.2
AIJFbTPlannerB;15;80;10;15.0;2.0;270.0;1.1723333333333332
AIJFbTPlannerB;15;80;20;15.0;2.0;120.0;1.189
AIJFbTPlannerB;15;80;30;15.0;2.0;30.0;1.2283333333333333
AIJFbTPlannerB;15;100;10;15.0;2.0;270.0;1.3143333333333334
AIJFbTPlannerB;15;100;20;15.0;2.0;120.0;1.2583333333333333
AIJFbTPlannerB;15;100;30;15.0;2.0;30.0;1.2116666666666667
AIJFbTPlannerB;20;20;10;20.0;2.0;359.0;2.8773333333333335
AIJFbTPlannerB;20;20;20;20.0;2.0;159.0;3.4316666666666666
AIJFbTPlannerB;20;20;30;20.0;2.0;40.0;3.0986666666666665
AIJFbTPlannerB;20;40;10;20.0;2.0;359.0;3.126
AIJFbTPlannerB;20;40;20;20.0;2.0;159.0;3.0083333333333333
AIJFbTPlannerB;20;40;30;20.0;2.0;40.0;2.9886666666666666
AIJFbTPlannerB;20;60;10;20.0;2.0;359.0;3.0086666666666666
AIJFbTPlannerB;20;60;20;20.0;2.0;159.0;3.4576666666666664
AIJFbTPlannerB;20;60;30;20.0;2.0;40.0;2.9936666666666665
AIJFbTPlannerB;20;80;10;20.0;2.0;359.0;3.028
AIJFbTPlannerB;20;80;20;20.0;2.0;159.0;2.9676666666666667
AIJFbTPlannerB;20;80;30;20.0;2.0;40.0;2.9333333333333336
AIJFbTPlannerB;20;100;10;20.0;2.0;359.0;2.986
AIJFbTPlannerB;20;100;20;20.0;2.0;159.0;2.9966666666666666
AIJFbTPlannerB;20;100;30;20.0;2.0;40.0;2.854
AIJFbTPlannerB;25;20;10;25.0;2.0;450.0;5.660666666666667
AIJFbTPlannerB;25;20;20;25.0;2.0;200.0;5.735
AIJFbTPlannerB;25;20;30;25.0;2.0;50.0;6.047666666666667
AIJFbTPlannerB;25;40;10;25.0;2.0;450.0;5.502666666666667
AIJFbTPlannerB;25;40;20;25.0;2.0;200.0;5.784666666666667
AIJFbTPlannerB;25;40;30;25.0;2.0;50.0;5.701666666666667
AIJFbTPlannerB;25;60;10;25.0;2.0;450.0;5.862
AIJFbTPlannerB;25;60;20;25.0;2.0;200.0;5.858666666666667
AIJFbTPlannerB;25;60;30;25.0;2.0;50.0;5.812
AIJFbTPlannerB;25;80;10;25.0;2.0;450.0;5.496666666666667
AIJFbTPlannerB;25;80;20;25.0;2.0;200.0;6.369
AIJFbTPlannerB;25;80;30;25.0;2.0;50.0;5.701333333333333
AIJFbTPlannerB;25;100;10;25.0;2.0;450.0;5.829666666666667
AIJFbTPlannerB;25;100;20;25.0;2.0;200.0;5.85
AIJFbTPlannerB;25;100;30;25.0;2.0;50.0;6.079333333333333
AIJFbTPlannerB;30;20;10;-1;-1
AIJFbTPlannerB;30;20;20;30.0;2.0;239.0;10.321666666666665
AIJFbTPlannerB;30;20;30;30.0;2.0;60.0;10.844666666666667
AIJFbTPlannerB;30;40;10;-1;-1
AIJFbTPlannerB;30;40;20;30.0;2.0;239.0;10.681333333333335
AIJFbTPlannerB;30;40;30;30.0;2.0;60.0;9.816666666666666
AIJFbTPlannerB;30;60;10;-1;-1
AIJFbTPlannerB;30;60;20;30.0;2.0;239.0;9.648
AIJFbTPlannerB;30;60;30;30.0;2.0;60.0;9.385
AIJFbTPlannerB;30;80;10;-1;-1
AIJFbTPlannerB;30;80;20;30.0;2.0;239.0;9.609333333333334
AIJFbTPlannerB;30;80;30;30.0;2.0;60.0;9.555666666666665
AIJFbTPlannerB;30;100;10;-1;-1
AIJFbTPlannerB;30;100;20;30.0;2.0;239.0;10.775666666666666
AIJFbTPlannerB;30;100;30;30.0;2.0;60.0;9.665333333333335
AIJFbTPlannerC;10;20;10;10.0;2.0;179.0;0.41
AIJFbTPlannerC;10;20;20;10.0;2.0;79.0;0.401
AIJFbTPlannerC;10;20;30;10.0;2.0;20.0;0.4136666666666667
AIJFbTPlannerC;10;40;10;-1;-1
AIJFbTPlannerC;10;40;20;-1;-1
AIJFbTPlannerC;10;40;30;8.0;4.0;29.0;71.74366666666667
AIJFbTPlannerC;10;60;10;-1;-1
AIJFbTPlannerC;10;60;20;-1;-1
AIJFbTPlannerC;10;60;30;-1;-1
AIJFbTPlannerC;10;80;10;-1;-1
AIJFbTPlannerC;10;80;20;-1;-1
AIJFbTPlannerC;10;80;30;-1;-1
AIJFbTPlannerC;10;100;10;-1;-1
AIJFbTPlannerC;10;100;20;-1;-1
AIJFbTPlannerC;10;100;30;-1;-1
AIJFbTPlannerC;15;20;10;15.0;2.0;270.0;0.96
AIJFbTPlannerC;15;20;20;15.0;2.0;120.0;0.913
AIJFbTPlannerC;15;20;30;15.0;2.0;30.0;0.954
AIJFbTPlannerC;15;40;10;-1;-1
AIJFbTPlannerC;15;40;20;-1;-1
AIJFbTPlannerC;15;40;30;-1;-1
AIJFbTPlannerC;15;60;10;-1;-1
AIJFbTPlannerC;15;60;20;-1;-1
AIJFbTPlannerC;15;60;30;-1;-1
AIJFbTPlannerC;15;80;10;-1;-1
AIJFbTPlannerC;15;80;20;-1;-1
AIJFbTPlannerC;15;80;30;-1;-1
AIJFbTPlannerC;15;100;10;-1;-1
AIJFbTPlannerC;15;100;20;-1;-1
AIJFbTPlannerC;15;100;30;-1;-1
AIJFbTPlannerC;20;20;10;-1;-1
AIJFbTPlannerC;20;20;20;-1;-1
AIJFbTPlannerC;20;20;30;-1;-1
AIJFbTPlannerC;20;40;10;-1;-1
AIJFbTPlannerC;20;40;20;-1;-1
AIJFbTPlannerC;20;40;30;-1;-1
AIJFbTPlannerC;20;60;10;-1;-1
AIJFbTPlannerC;20;60;20;-1;-1
AIJFbTPlannerC;20;60;30;-1;-1
AIJFbTPlannerC;20;80;10;-1;-1
AIJFbTPlannerC;20;80;20;-1;-1
AIJFbTPlannerC;20;80;30;-1;-1
AIJFbTPlannerC;20;100;10;-1;-1
AIJFbTPlannerC;20;100;20;-1;-1
AIJFbTPlannerC;20;100;30;-1;-1
AIJFbTPlannerC;25;20;10;-1;-1
AIJFbTPlannerC;25;20;20;-1;-1
AIJFbTPlannerC;25;20;30;-1;-1
AIJFbTPlannerC;25;40;10;-1;-1
AIJFbTPlannerC;25;40;20;-1;-1
AIJFbTPlannerC;25;40;30;-1;-1
AIJFbTPlannerC;25;60;10;-1;-1
AIJFbTPlannerC;25;60;20;-1;-1
